Repositório,Estrelas,Linguagem Primária,Linguagem Primária é Top-10?,Percentual que utiliza linguagem popular
curl,36870,C,Sim,0.7747747747747747
ant-design-pro,36818,TypeScript,Sim,0.7752808988764045
interview_internal_reference,36794,Python,Sim,0.7757847533632287
pure-bash-bible,36792,Shell,Sim,0.7762863534675615
ultralytics,36783,Python,Sim,0.7767857142857143
awesome-remote-job,36775,Sem informação,Sem informação,0.7767857142857143
aria2,36722,C++,Sim,0.77728285077951
freqtrade,36534,Python,Sim,0.7777777777777778
tmux,36533,C,Sim,0.7782705099778271
penpot,36532,Clojure,Não,0.7765486725663717
istio,36504,Go,Sim,0.7770419426048565
photoprism,36484,Go,Sim,0.7775330396475771
GFPGAN,36341,Python,Sim,0.778021978021978
novu,36309,TypeScript,Sim,0.7785087719298246
JavaFamily,36290,Sem informação,Sem informação,0.7785087719298246
Summer2025-Internships,36236,Sem informação,Sem informação,0.7785087719298246
gradio,36218,Python,Sim,0.7789934354485777
OpenBB,36212,Python,Sim,0.7794759825327511
manifesto,36127,HTML,Não,0.7777777777777778
AI-For-Beginners,36111,Jupyter Notebook,Não,0.7760869565217391
aspnetcore,36107,C#,Sim,0.7765726681127982
taro,36085,TypeScript,Sim,0.7770562770562771
Files,36075,C#,Sim,0.7775377969762419
v,36071,V,Não,0.7758620689655172
trpc,36070,TypeScript,Sim,0.7763440860215054
deeplearningbook-chinese,36067,TeX,Não,0.7746781115879828
GitHubDaily,36051,Sem informação,Sem informação,0.7746781115879828
tesseract.js,36029,JavaScript,Sim,0.7751605995717344
wtfpython,36028,Python,Sim,0.7756410256410257
arthas,35991,Java,Sim,0.7761194029850746
ruff,35979,Rust,Não,0.774468085106383
helix,35961,Rust,Não,0.772823779193206
wtfjs,35949,JavaScript,Sim,0.7733050847457628
pandoc,35919,Haskell,Não,0.7716701902748414
og-aws,35886,Shell,Sim,0.7721518987341772
DragGAN,35861,Python,Sim,0.7726315789473684
lerna,35840,TypeScript,Sim,0.773109243697479
MockingBird,35813,Python,Sim,0.7735849056603774
devdocs,35770,Ruby,Não,0.7719665271966527
appsmith,35718,TypeScript,Sim,0.7724425887265136
insomnia,35691,JavaScript,Sim,0.7729166666666667
zod,35670,TypeScript,Sim,0.7733887733887734
fd,35631,Rust,Não,0.7717842323651453
ray,35535,Python,Sim,0.772256728778468
daisyui,35504,Svelte,Não,0.7706611570247934
shadowsocks-android,35485,Kotlin,Não,0.7690721649484537
hello-algorithm,35474,Java,Sim,0.7695473251028807
googletest,35470,C++,Sim,0.7700205338809035
interview,35440,C++,Sim,0.7704918032786885
gym,35427,Python,Sim,0.7709611451942741
sheetjs,35399,Sem informação,Sem informação,0.7709611451942741
fullPage.js,35389,JavaScript,Sim,0.7714285714285715
koa,35347,JavaScript,Sim,0.7718940936863544
date-fns,35331,TypeScript,Sim,0.7723577235772358
Flowise,35331,TypeScript,Sim,0.7728194726166329
RSSHub,35301,TypeScript,Sim,0.7732793522267206
spotube,35234,Dart,Não,0.7717171717171717
lottie-android,35200,Java,Sim,0.7721774193548387
nativefier,35084,TypeScript,Sim,0.772635814889336
fiber,35063,Go,Sim,0.7730923694779116
upscayl,35008,TypeScript,Sim,0.7735470941883767
Awesome-Design-Tools,34988,JavaScript,Sim,0.774
955.WLB,34984,Sem informação,Sem informação,0.774
logseq,34984,Clojure,Não,0.7724550898203593
lapce,34983,Rust,Não,0.7709163346613546
hackathon-starter,34982,JavaScript,Sim,0.7713717693836978
slidev,34968,TypeScript,Sim,0.7718253968253969
google-research,34955,Jupyter Notebook,Não,0.7702970297029703
Pake,34943,Rust,Não,0.7687747035573123
awesome-react-native,34936,JavaScript,Sim,0.7692307692307693
carbon,34907,JavaScript,Sim,0.7696850393700787
typeorm,34894,TypeScript,Sim,0.7701375245579568
metasploit-framework,34852,Ruby,Não,0.7686274509803922
cli,34813,Python,Sim,0.7690802348336595
chatgpt-on-wechat,34801,Python,Sim,0.76953125
glide,34786,Java,Sim,0.7699805068226121
halo,34780,Java,Sim,0.7704280155642024
compose,34770,Go,Sim,0.7708737864077669
ToolJet,34748,JavaScript,Sim,0.7713178294573644
the-way-to-go_ZH_CN,34742,Go,Sim,0.7717601547388782
ccxt,34672,Python,Sim,0.7722007722007722
ChatTTS,34548,Python,Sim,0.7726396917148363
vim-plug,34546,Vim Script,Não,0.7711538461538462
system-design,34545,Sem informação,Sem informação,0.7711538461538462
TaskMatrix,34540,Python,Sim,0.7715930902111324
HanLP,34441,Python,Sim,0.7720306513409961
node-v0.x-archive,34411,Sem informação,Sem informação,0.7720306513409961
caffe,34228,C++,Sim,0.7724665391969407
formik,34149,TypeScript,Sim,0.7729007633587787
cal.com,34143,TypeScript,Sim,0.7733333333333333
clipboard.js,34108,JavaScript,Sim,0.7737642585551331
12306,34010,Python,Sim,0.7741935483870968
awesome-javascript,33983,Sem informação,Sem informação,0.7741935483870968
gold-miner,33949,Sem informação,Sem informação,0.7741935483870968
nushell,33934,Rust,Não,0.7727272727272727
marked,33897,TypeScript,Sim,0.7731568998109641
spacedrive,33889,TypeScript,Sim,0.7735849056603774
REKCARC-TSC-UHT,33862,HTML,Não,0.7721280602636534
netty,33804,Java,Sim,0.7725563909774437
awesome-shell,33775,Sem informação,Sem informação,0.7725563909774437
jieba,33707,Python,Sim,0.7729831144465291
react-beautiful-dnd,33668,JavaScript,Sim,0.7734082397003745
shadowsocks,33602,Python,Sim,0.7738317757009345
Langchain-Chatchat,33562,TypeScript,Sim,0.7742537313432836
AndroidUtilCode,33455,Java,Sim,0.7746741154562383
spring-boot-demo,33390,Java,Sim,0.775092936802974
sqlmap,33359,Python,Sim,0.7755102040816326
AFNetworking,33351,Objective-C,Não,0.774074074074074
LeetCode-Go,33337,Go,Sim,0.7744916820702403
brackets,33232,JavaScript,Sim,0.7749077490774908
pytorch-image-models,33221,Python,Sim,0.7753222836095764
XX-Net,33166,Python,Sim,0.7757352941176471
framework,33149,PHP,Sim,0.7761467889908257
husky,33119,JavaScript,Sim,0.7765567765567766
windows,33118,Shell,Sim,0.7769652650822669
faiss,33113,C++,Sim,0.7773722627737226
easyexcel,33108,Java,Sim,0.7777777777777778
gulp,33082,JavaScript,Sim,0.7781818181818182
zxing,33067,Java,Sim,0.778584392014519
fastify,33063,JavaScript,Sim,0.7789855072463768
node,33052,Shell,Sim,0.779385171790235
solid,33024,TypeScript,Sim,0.779783393501805
immutable-js,33020,TypeScript,Sim,0.7801801801801802
leetcode,33012,Java,Sim,0.7805755395683454
docs,32999,MDX,Não,0.7791741472172352
NewPipe,32973,Java,Sim,0.7795698924731183
Coursera-ML-AndrewNg-Notes,32931,HTML,Não,0.778175313059034
AgentGPT,32907,TypeScript,Sim,0.7785714285714286
JavaScript,32887,JavaScript,Sim,0.7789661319073083
ink-kit,32855,TypeScript,Sim,0.7793594306049823
linux-command,32816,Markdown,Não,0.7779751332149201
ijkplayer,32744,C,Sim,0.7783687943262412
ShadowsocksX-NG,32635,Swift,Não,0.7769911504424779
carbon-lang,32631,C++,Sim,0.7773851590106007
poetry,32604,Python,Sim,0.7777777777777778
milvus,32575,Go,Sim,0.778169014084507
payload,32565,TypeScript,Sim,0.7785588752196837
Python,32560,Python,Sim,0.7789473684210526
engineering-blogs,32499,Ruby,Não,0.7775831873905429
plane,32467,TypeScript,Sim,0.777972027972028
harness,32460,Go,Sim,0.7783595113438045
legado,32454,Kotlin,Não,0.7770034843205574
awesome-awesomeness,32377,Ruby,Não,0.7756521739130435
gpt-pilot,32376,Python,Sim,0.7760416666666666
material-design-lite,32291,HTML,Não,0.7746967071057193
zsh-autosuggestions,32279,Shell,Sim,0.7750865051903114
portainer,32035,TypeScript,Sim,0.7754749568221071
certbot,31941,Python,Sim,0.7758620689655172
How-To-Ask-Questions-The-Smart-Way,31939,JavaScript,Sim,0.7762478485370051
polars,31928,Rust,Não,0.7749140893470791
openpose,31900,C++,Sim,0.7753001715265866
run,31899,Sem informação,Sem informação,0.7753001715265866
LLM101n,31860,Sem informação,Sem informação,0.7753001715265866
HEU_KMS_Activator,31858,Sem informação,Sem informação,0.7753001715265866
chatgpt-web,31834,Vue,Não,0.773972602739726
beego,31833,Go,Sim,0.7743589743589744
vault,31798,Go,Sim,0.7747440273037542
my-tv,31779,C,Sim,0.7751277683134583
swc,31701,Rust,Não,0.7738095238095238
mattermost,31690,TypeScript,Sim,0.7741935483870968
android-open-project,31678,Sem informação,Sem informação,0.7741935483870968
shardeum,31648,TypeScript,Sim,0.7745762711864407
modern-unix,31623,Sem informação,Sem informação,0.7745762711864407
selenium,31623,Java,Sim,0.7749576988155669
AnotherRedisDesktopManager,31570,JavaScript,Sim,0.7753378378378378
chatbox,31511,TypeScript,Sim,0.7757166947723441
ControlNet,31498,Python,Sim,0.7760942760942761
RevokeMsgPatcher,31490,C#,Sim,0.7764705882352941
graphql-engine,31362,TypeScript,Sim,0.7768456375838926
jax,31353,Python,Sim,0.7772194304857621
awesome-php,31337,Sem informação,Sem informação,0.7772194304857621
awesome-docker,31325,Sem informação,Sem informação,0.7772194304857621
nps,31281,Go,Sim,0.7775919732441472
C-Plus-Plus,31263,C++,Sim,0.7779632721202003
detectron2,31258,Python,Sim,0.7783333333333333
yew,31247,Rust,Não,0.7770382695507487
bruno,31236,JavaScript,Sim,0.7774086378737541
jq,31230,C,Sim,0.7777777777777778
serenity,31092,C++,Sim,0.7781456953642384
learnGitBranching,31088,JavaScript,Sim,0.7785123966942149
crawl4ai,31062,Python,Sim,0.7788778877887789
swr,31055,TypeScript,Sim,0.7792421746293245
rxjs,31027,TypeScript,Sim,0.7796052631578947
fairseq,31020,Python,Sim,0.7799671592775042
vimrc,31019,Vim Script,Não,0.7786885245901639
OpenVoice,30992,Python,Sim,0.779050736497545
html2canvas,30992,TypeScript,Sim,0.7794117647058824
llvm-project,30988,LLVM,Não,0.7781402936378466
remote-jobs,30976,JavaScript,Sim,0.7785016286644951
MS-DOS,30957,Assembly,Não,0.7772357723577236
spaCy,30957,Python,Sim,0.7775974025974026
jQuery-File-Upload,30950,PHP,Sim,0.7779578606158833
HowToLiveLonger,30947,Sem informação,Sem informação,0.7779578606158833
unsloth,30925,Python,Sim,0.7783171521035599
ShareX,30890,C#,Sim,0.778675282714055
lottie-web,30888,JavaScript,Sim,0.7790322580645161
Blog,30885,Sem informação,Sem informação,0.7790322580645161
nacos,30868,Java,Sim,0.7793880837359098
pnpm,30826,TypeScript,Sim,0.7797427652733119
aseprite,30808,C++,Sim,0.7800963081861958
pytorch-tutorial,30807,Python,Sim,0.780448717948718
remix,30763,TypeScript,Sim,0.7808
floating-ui,30686,TypeScript,Sim,0.7811501597444089
etcher,30640,TypeScript,Sim,0.7814992025518341
dotfiles,30584,Shell,Sim,0.7818471337579618
p3c,30564,Kotlin,Não,0.78060413354531
WxJava,30558,Java,Sim,0.780952380952381
LocalAI,30533,Go,Sim,0.7812995245641838
cockroach,30526,Go,Sim,0.7816455696202531
outline,30522,TypeScript,Sim,0.7819905213270142
libpku,30514,TeX,Não,0.7807570977917981
echo,30493,Go,Sim,0.7811023622047244
v2ray-core,30434,Go,Sim,0.7814465408805031
slate,30388,TypeScript,Sim,0.7817896389324961
spring-boot-examples,30374,Java,Sim,0.7821316614420063
YesPlayMusic,30359,Vue,Não,0.7809076682316118
linux-insides,30345,Python,Sim,0.78125
lede,30338,C,Sim,0.781591263650546
CyberChef,30311,JavaScript,Sim,0.7819314641744548
rufus,30306,C,Sim,0.7822706065318819
NeteaseCloudMusicApi,30305,Sem informação,Sem informação,0.7822706065318819
mmdetection,30292,Python,Sim,0.782608695652174
cline,30256,TypeScript,Sim,0.7829457364341085
browser-use,30091,Python,Sim,0.7832817337461301
Sortable,30071,JavaScript,Sim,0.7836166924265843
calculator,30062,C++,Sim,0.7839506172839507
symfony,30039,PHP,Sim,0.7842835130970724
HEAD,30022,Sem informação,Sem informação,0.7842835130970724
manim,30013,Python,Sim,0.7846153846153846
chatbot-ui,30006,TypeScript,Sim,0.7849462365591398
layui,29976,JavaScript,Sim,0.7852760736196319
winutil,29959,PowerShell,Não,0.7840735068912711
full-stack-fastapi-template,29949,TypeScript,Sim,0.7844036697247706
awesome-cto,29948,Sem informação,Sem informação,0.7844036697247706
qBittorrent,29943,C++,Sim,0.7847328244274809
webtorrent,29938,JavaScript,Sim,0.7850609756097561
interactive-coding-challenges,29935,Python,Sim,0.7853881278538812
minikube,29935,Go,Sim,0.7857142857142857
go-zero,29933,Go,Sim,0.7860394537177542
dokku,29930,Shell,Sim,0.7863636363636364
bulletproof-react,29928,TypeScript,Sim,0.7866868381240545
refine,29925,TypeScript,Sim,0.7870090634441088
tabby,29908,Rust,Não,0.7858220211161387
sharp,29890,JavaScript,Sim,0.786144578313253
stanford_alpaca,29830,Python,Sim,0.7864661654135339
sequelize,29787,TypeScript,Sim,0.7867867867867868
jsPDF,29771,JavaScript,Sim,0.7871064467766117
vue-cli,29756,JavaScript,Sim,0.7874251497005988
mpv,29728,C,Sim,0.7877428998505231
foundation-sites,29719,HTML,Não,0.7865671641791044
Real-ESRGAN,29696,Python,Sim,0.7868852459016393
fabric.js,29660,JavaScript,Sim,0.7872023809523809
Reactive-Resume,29648,TypeScript,Sim,0.787518573551263
lossless-cut,29643,TypeScript,Sim,0.787833827893175
bubbletea,29637,Go,Sim,0.7881481481481482
union,29603,Rust,Não,0.7869822485207101
Umi-OCR,29598,Python,Sim,0.7872968980797637
leakcanary,29556,Kotlin,Não,0.7861356932153393
editor.js,29553,TypeScript,Sim,0.7864506627393225
AI-Expert-Roadmap,29552,JavaScript,Sim,0.7867647058823529
influxdb,29527,Rust,Não,0.7856093979441997
hutool,29523,Java,Sim,0.7859237536656891
project-guidelines,29513,JavaScript,Sim,0.7862371888726208
react-boilerplate,29511,JavaScript,Sim,0.7865497076023392
uppy,29508,TypeScript,Sim,0.7868613138686131
siyuan,29505,TypeScript,Sim,0.7871720116618076
kafka,29491,Java,Sim,0.7874818049490538
phantomjs,29484,C++,Sim,0.7877906976744186
netron,29414,JavaScript,Sim,0.7880986937590712
500lines,29407,JavaScript,Sim,0.7884057971014493
stats,29391,Swift,Não,0.7872648335745297
OpenAPI-Specification,29386,Markdown,Não,0.7861271676300579
fabric,29385,Go,Sim,0.7864357864357865
Mr.-Ranedeer-AI-Tutor,29361,Sem informação,Sem informação,0.7864357864357865
backstage,29357,TypeScript,Sim,0.7867435158501441
comprehensive-rust,29341,Rust,Não,0.7856115107913669
particles.js,29335,JavaScript,Sim,0.7859195402298851
Hover,29335,SCSS,Não,0.7847919655667145
apollo,29332,Java,Sim,0.7851002865329513
roop,29326,Python,Sim,0.7854077253218884
servo,29310,Rust,Não,0.7842857142857143
GPTs,29307,Sem informação,Sem informação,0.7842857142857143
tqdm,29299,Python,Sim,0.7845934379457917
standard,29260,JavaScript,Sim,0.7849002849002849
awesome-macos-command-line,29252,Sem informação,Sem informação,0.7849002849002849
es6features,29230,Sem informação,Sem informação,0.7849002849002849
ruoyi-vue-pro,29228,Java,Sim,0.7852062588904695
algo,29200,Jinja,Não,0.7840909090909091
rocksdb,29163,C++,Sim,0.7843971631205674
directus,29124,TypeScript,Sim,0.7847025495750708
awesome-python-cn,29108,Makefile,Não,0.7835926449787836
cheerio,29097,TypeScript,Sim,0.7838983050847458
COVID-19,29088,Sem informação,Sem informação,0.7838983050847458
paper-reading,29084,Sem informação,Sem informação,0.7838983050847458
alpine,29060,HTML,Não,0.7827926657263752
MonitorControl,29030,Swift,Não,0.7816901408450704
pytorch-lightning,29014,Python,Sim,0.7819971870604782
folly,28995,C++,Sim,0.7823033707865169
data-engineering-zoomcamp,28984,Jupyter Notebook,Não,0.7812061711079944
swift-algorithm-club,28953,Swift,Não,0.7801120448179272
weekly,28939,JavaScript,Sim,0.7804195804195804
CheatSheetSeries,28903,Python,Sim,0.7807262569832403
tiptap,28870,TypeScript,Sim,0.7810320781032078
numpy,28862,Python,Sim,0.7813370473537604
Data-Science-For-Beginners,28841,Jupyter Notebook,Não,0.780250347705146
k3s,28831,Go,Sim,0.7805555555555556
composer,28829,PHP,Sim,0.7808599167822469
canal,28818,Java,Sim,0.7811634349030471
django-rest-framework,28813,Python,Sim,0.7814661134163209
croc,28795,Go,Sim,0.7817679558011049
css-protips,28790,Sem informação,Sem informação,0.7817679558011049
docsify,28773,JavaScript,Sim,0.7820689655172414
surrealdb,28730,Rust,Não,0.78099173553719
todomvc,28728,JavaScript,Sim,0.781292984869326
lux,28707,Go,Sim,0.7815934065934066
lighthouse,28701,JavaScript,Sim,0.7818930041152263
consul,28692,Go,Sim,0.7821917808219178
postcss,28664,TypeScript,Sim,0.7824897400820794
python-guide,28660,Batchfile,Não,0.7814207650273224
server,28655,PHP,Sim,0.781718963165075
mediapipe,28645,C++,Sim,0.782016348773842
CasaOS,28607,Go,Sim,0.782312925170068
SpringAll,28604,Java,Sim,0.782608695652174
slick,28599,JavaScript,Sim,0.7829036635006784
linkedin-skill-assessments-quizzes,28575,Sem informação,Sem informação,0.7829036635006784
k9s,28555,Go,Sim,0.7831978319783198
Hello-Python,28515,Python,Sim,0.7834912043301759
react-spring,28468,TypeScript,Sim,0.7837837837837838
vuex,28456,JavaScript,Sim,0.7840755735492577
handson-ml2,28429,Jupyter Notebook,Não,0.7830188679245284
machine-learning-for-software-engineers,28362,Sem informação,Sem informação,0.7830188679245284
llama3,28351,Python,Sim,0.7833109017496636
android_guides,28347,Sem informação,Sem informação,0.7833109017496636
plyr,28328,JavaScript,Sim,0.7836021505376344
Clone-Wars,28319,Sem informação,Sem informação,0.7836021505376344
xxl-job,28313,Java,Sim,0.7838926174496644
Free-Certifications,28282,Sem informação,Sem informação,0.7838926174496644
spring-cloud-alibaba,28237,Java,Sim,0.7841823056300268
async,28224,JavaScript,Sim,0.784471218206158
UTM,28218,Swift,Não,0.7834224598930482
react-three-fiber,28217,TypeScript,Sim,0.7837116154873164
puter,28157,JavaScript,Sim,0.784
ladybird,28123,C++,Sim,0.7842876165113183
the-super-tiny-compiler,28119,JavaScript,Sim,0.7845744680851063
JavaScript30,28107,HTML,Não,0.7835325365205843
backbone,28103,JavaScript,Sim,0.7838196286472149
immer,28088,JavaScript,Sim,0.7841059602649006
trilium,28086,JavaScript,Sim,0.7843915343915344
druid,28069,Java,Sim,0.7846763540290621
tinygrad,28065,Python,Sim,0.7849604221635884
ChatGPT,28058,Python,Sim,0.7852437417654808
DevToys,28044,C#,Sim,0.7855263157894737
tuning_playbook,28023,Sem informação,Sem informação,0.7855263157894737
fish-shell,28018,Rust,Não,0.7844940867279895
Complete-Python-3-Bootcamp,28000,Jupyter Notebook,Não,0.7834645669291339
nginxconfig.io,27975,JavaScript,Sim,0.783748361730013
cobalt,27970,Svelte,Não,0.7827225130890052
tokio,27963,Rust,Não,0.7816993464052288
reverse-interview,27908,Sem informação,Sem informação,0.7816993464052288
filebrowser,27907,Go,Sim,0.7819843342036553
stb,27897,C,Sim,0.7822685788787483
data-science-ipython-notebooks,27876,Python,Sim,0.7825520833333334
viper,27876,Go,Sim,0.7828348504551366
os-tutorial,27849,C,Sim,0.7831168831168831
react-select,27827,TypeScript,Sim,0.7833981841763943
xstate,27821,TypeScript,Sim,0.783678756476684
mantine,27819,TypeScript,Sim,0.7839586028460543
glances,27762,Python,Sim,0.7842377260981912
cursor,27756,Sem informação,Sem informação,0.7842377260981912
waifu2x,27752,Lua,Não,0.7832258064516129
xyflow,27751,TypeScript,Sim,0.7835051546391752
medusa,27740,TypeScript,Sim,0.7837837837837838
Charts,27738,Swift,Não,0.7827763496143959
mobx,27735,TypeScript,Sim,0.7830551989730423
applied-ml,27716,Sem informação,Sem informação,0.7830551989730423
GPT_API_free,27684,Python,Sim,0.7833333333333333
restic,27669,Go,Sim,0.7836107554417413
ink,27650,TypeScript,Sim,0.7838874680306905
90DaysOfDevOps,27650,Shell,Sim,0.7841634738186463
DeepFaceLive,27644,Python,Sim,0.7844387755102041
jan,27640,TypeScript,Sim,0.7847133757961784
aider,27619,Python,Sim,0.7849872773536896
diffusers,27595,Python,Sim,0.7852604828462516
vhr,27593,Java,Sim,0.7855329949238579
gitbook,27566,TypeScript,Sim,0.7858048162230672
hosts,27516,Python,Sim,0.7860759493670886
yapi,27497,JavaScript,Sim,0.786346396965866
helm,27476,Go,Sim,0.7866161616161617
Daily-Interview-Question,27452,JavaScript,Sim,0.7868852459016393
CLIP,27447,Jupyter Notebook,Não,0.7858942065491183
textual,27439,Python,Sim,0.7861635220125787
ResumeSample,27421,Sem informação,Sem informação,0.7861635220125787
python-fire,27412,Python,Sim,0.7864321608040201
underscore,27377,JavaScript,Sim,0.7867001254705144
vnpy,27377,Python,Sim,0.7869674185463659
motion,27358,TypeScript,Sim,0.7872340425531915
Python-programming-exercises,27303,Sem informação,Sem informação,0.7872340425531915
aos,27273,JavaScript,Sim,0.7875
Xray-core,27272,Go,Sim,0.787765293383271
weui,27256,HTML,Não,0.786783042394015
mindsdb,27231,Python,Sim,0.7870485678704857
Jobs_Applier_AI_Agent_AIHawk,27215,Python,Sim,0.7873134328358209
TrackersListCollection,27202,Sem informação,Sem informação,0.7873134328358209
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27201,Jupyter Notebook,Não,0.7863354037267081
Retrieval-based-Voice-Conversion-WebUI,27156,Python,Sim,0.7866004962779156
dragonfly,27151,C++,Sim,0.7868649318463445
dnSpy,27113,C#,Sim,0.7871287128712872
it-tools,27107,Vue,Não,0.7861557478368356
mongoose,27102,JavaScript,Sim,0.7864197530864198
awesome-sysadmin,27101,Sem informação,Sem informação,0.7864197530864198
JCSprout,27094,Java,Sim,0.7866831072749692
firecracker,27085,Rust,Não,0.7857142857142857
ghostty,27059,Zig,Não,0.7847478474784748
commander.js,27058,JavaScript,Sim,0.785012285012285
Tvlist-awesome-m3u-m3u8,27054,Sem informação,Sem informação,0.785012285012285
AdGuardHome,27047,Go,Sim,0.7852760736196319
turborepo,27024,Rust,Não,0.7843137254901961
Web,27004,Sem informação,Sem informação,0.7843137254901961
python-telegram-bot,26991,Python,Sim,0.784577723378213
tdesktop,26975,C++,Sim,0.784841075794621
legacy-homebrew,26962,Sem informação,Sem informação,0.784841075794621
codemirror5,26954,JavaScript,Sim,0.7851037851037851
swagger-ui,26950,JavaScript,Sim,0.7853658536585366
redash,26937,Python,Sim,0.7856272838002436
coder2gwy,26904,Sem informação,Sem informação,0.7856272838002436
wails,26868,Go,Sim,0.7858880778588808
crewAI,26861,Python,Sim,0.7861482381530984
ace,26861,JavaScript,Sim,0.7864077669902912
rethinkdb,26850,C++,Sim,0.7866666666666666
Avalonia,26833,C#,Sim,0.7869249394673123
kit,26827,Go,Sim,0.7871825876662636
angular-cli,26826,TypeScript,Sim,0.7874396135265701
headlessui,26807,TypeScript,Sim,0.7876960193003619
mongo,26795,C++,Sim,0.7879518072289157
Faker,26795,PHP,Sim,0.7882069795427196
rust-course,26791,Rust,Não,0.7872596153846154
k6,26785,Go,Sim,0.787515006002401
vue-vben-admin,26762,Vue,Não,0.7865707434052758
gitflow,26752,Shell,Sim,0.7868263473053893
taichi,26749,C++,Sim,0.7870813397129187
hangzhou_house_knowledge,26739,CSS,Não,0.7861409796893668
openssl,26726,C,Sim,0.7863961813842482
fastai,26648,Jupyter Notebook,Não,0.7854588796185935
data-engineer-handbook,26634,Jupyter Notebook,Não,0.7845238095238095
firecrawl,26625,TypeScript,Sim,0.7847800237812128
anoma,26611,Elixir,Não,0.7838479809976246
xgboost,26610,C++,Sim,0.7841043890865955
duckdb,26609,C++,Sim,0.7843601895734598
react-virtualized,26608,JavaScript,Sim,0.7846153846153846
so-vits-svc,26563,Python,Sim,0.7848699763593381
Rectangle,26504,Swift,Não,0.7839433293978748
vagrant,26490,Ruby,Não,0.7830188679245284
30-Days-Of-React,26476,JavaScript,Sim,0.7832744405182568
nodemon,26458,JavaScript,Sim,0.7835294117647059
cascadia-code,26445,Python,Sim,0.7837837837837838
create-t3-app,26395,TypeScript,Sim,0.784037558685446
spleeter,26392,Python,Sim,0.7842907385697538
srs,26392,C++,Sim,0.7845433255269321
drizzle-orm,26390,TypeScript,Sim,0.7847953216374269
vscodium,26388,Shell,Sim,0.7850467289719626
kitty,26364,Python,Sim,0.7852975495915986
the_silver_searcher,26359,C,Sim,0.7855477855477856
GoodbyeDPI,26356,C,Sim,0.7857974388824214
khoj,26314,Python,Sim,0.786046511627907
Detectron,26301,Python,Sim,0.7862950058072009
quasar,26277,JavaScript,Sim,0.7865429234338747
miaosha,26255,Java,Sim,0.7867902665121669
nprogress,26247,JavaScript,Sim,0.7870370370370371
ChatDev,26208,Python,Sim,0.7872832369942196
cmder,26185,C++,Sim,0.7875288683602771
emscripten,26181,C++,Sim,0.7877739331026529
awesome-electron,26120,Sem informação,Sem informação,0.7877739331026529
Signal-Android,26113,Kotlin,Não,0.7868663594470046
jumpserver,26101,Python,Sim,0.7871116225546605
MinerU,26077,Python,Sim,0.7873563218390804
fastText,26072,HTML,Não,0.7864523536165328
nginx,26057,C,Sim,0.786697247706422
ExplorerPatcher,26050,C,Sim,0.7869415807560137
lottie-ios,26044,Swift,Não,0.7860411899313501
darknet,26023,C,Sim,0.7862857142857143
next-auth,26007,TypeScript,Sim,0.7865296803652968
awesome-vscode,25998,JavaScript,Sim,0.7867730900798175
hacker-laws,25953,Shell,Sim,0.7870159453302962
select2,25949,JavaScript,Sim,0.7872582480091013
ItChat,25944,Python,Sim,0.7875
go-patterns,25919,Go,Sim,0.7877412031782066
DeepSpeech,25896,C++,Sim,0.7879818594104309
fonts,25894,Shell,Sim,0.7882219705549264
table,25833,TypeScript,Sim,0.7884615384615384
everyone-can-use-english,25825,TypeScript,Sim,0.7887005649717514
refined-github,25810,TypeScript,Sim,0.7889390519187359
Telegram,25808,Java,Sim,0.7891770011273957
fyne,25800,Go,Sim,0.7894144144144144
setup-ipsec-vpn,25798,Shell,Sim,0.7896512935883014
fastjson,25778,Java,Sim,0.7898876404494382
awesome-datascience,25771,Sem informação,Sem informação,0.7898876404494382
fetch,25766,JavaScript,Sim,0.7901234567901234
iced,25728,Rust,Não,0.7892376681614349
Modernizr,25716,JavaScript,Sim,0.7894736842105263
awesome-actions,25712,Sem informação,Sem informação,0.7894736842105263
discord.js,25706,TypeScript,Sim,0.7897091722595079
fe-interview,25702,JavaScript,Sim,0.7899441340782123
